Alvaro_Obregon,Precio_gas,Precio_Petroleo,Dólar
765.3858796,46.7953077,972.5430859,21.37748182
978.9334821,46.37816838,925.6204954,20.33238421
1107.280564,50.96324693,817.1926644,19.35558182
1551.922347,43.75362022,832.3620274,18.77837778
1819.522594,42.8845788,828.729343,18.76786818
2892.600555,40.5538987,752.4008759,18.16117273
1591.488253,41.16956547,779.9831041,17.83776667
1603.613831,43.70379814,810.9926483,17.8092087
1262.127264,45.88456262,859.3472843,17.81924762
1061.941599,49.9688013,919.7522206,18.77115
946.6231528,53.26498836,1015.87054,18.94203
880.8585618,53.82192657,1032.518084,19.12648421
1013.730793,55.72884927,1109.269476,18.95539091
1264.414658,85.93554164,1039.267688,18.63303158
1299.37418,60.85166738,1040.299418,18.66043158
1713.665917,55.23461486,1072.645238,18.36257143
3069.094153,56.96986549,1246.079049,19.53699091
2747.728208,56.52121837,1316.881406,20.31675714
1787.111411,55.72278762,1264.534487,19.05704091
2052.501317,55.5988921,1200.436332,18.83431304
1487.450542,52.60264331,1313.088222,19.038235
964.1576881,52.24548956,1416.876,19.11653478
800.0905695,54.03283326,1218.903006,20.25978
712.2794624,60.34242455,1010.136217,20.14772105
690.4206183,56.67674108,987.7382978,19.19293636
1031.750863,58.05943,1090.214167,19.1932
953.8923118,55.72448448,1152.902558,19.24188
1465.435514,57.14728325,1210.26249,19.00475
1526.908186,58.03632218,1185.444129,19.09089545
1447.087333,53.91348501,1112.779368,19.296165
1433.586425,57.85553202,1122.361919,19.06277826
1440.32871,60.3024631,986.3626422,19.6361
1211.932139,64.22027976,1132.872395,19.60326
657.6568145,61.71899657,944.6840827,19.34764783
508.8709861,53.58107217,976.1548071,19.315455
381.966035,59.66135929,1048.080728,19.140635
